ID,Age,Experience,Income,ZIP_Code,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard
nan,25.0,1.0,nan,nan,4.0,nan,1.0,0.0,0.0,1.0,0.0,nan,0.0
nan,45.0,19.0,nan,nan,3.0,nan,1.0,0.0,0.0,nan,0.0,0.0,0.0
nan,39.0,15.0,nan,nan,1.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,35.0,9.0,nan,nan,1.0,2.7,2.0,0.0,0.0,0.0,0.0,nan,0.0
nan,35.0,8.0,nan,nan,nan,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
nan,37.0,13.0,nan,nan,4.0,nan,2.0,nan,0.0,0.0,0.0,1.0,0.0
nan,nan,27.0,nan,nan,2.0,nan,2.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,50.0,24.0,nan,nan,1.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,nan
nan,35.0,10.0,nan,nan,3.0,nan,2.0,nan,0.0,0.0,0.0,1.0,0.0
nan,34.0,9.0,nan,nan,1.0,nan,3.0,0.0,1.0,0.0,0.0,0.0,0.0
nan,65.0,39.0,nan,nan,4.0,2.4,3.0,0.0,0.0,0.0,0.0,nan,0.0
nan,29.0,5.0,nan,nan,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,nan
nan,48.0,23.0,nan,nan,2.0,3.8,3.0,0.0,0.0,nan,0.0,nan,0.0
nan,59.0,32.0,nan,nan,4.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,nan,nan,nan,nan,1.0,2.0,1.0,0.0,0.0,nan,0.0,0.0,0.0
nan,60.0,30.0,nan,nan,1.0,1.5,3.0,0.0,0.0,0.0,0.0,1.0,nan
nan,38.0,14.0,nan,nan,4.0,nan,3.0,nan,nan,0.0,0.0,0.0,0.0
nan,42.0,18.0,nan,94305.0,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,nan,nan,nan,nan,2.0,nan,3.0,0.0,1.0,0.0,0.0,0.0,0.0
nan,55.0,nan,nan,nan,1.0,nan,2.0,0.0,0.0,1.0,0.0,0.0,1.0
nan,56.0,31.0,nan,nan,4.0,0.9,nan,nan,0.0,0.0,0.0,1.0,0.0
nan,57.0,27.0,nan,nan,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,29.0,5.0,nan,nan,1.0,nan,1.0,nan,0.0,0.0,0.0,1.0,0.0
nan,nan,18.0,43.0,nan,nan,0.7,1.0,nan,0.0,nan,0.0,0.0,0.0
nan,nan,nan,nan,95521.0,2.0,nan,1.0,nan,0.0,0.0,0.0,0.0,1.0
nan,43.0,19.0,nan,nan,3.0,0.5,1.0,nan,0.0,0.0,0.0,1.0,0.0
nan,40.0,16.0,nan,nan,4.0,nan,3.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,46.0,20.0,nan,nan,1.0,nan,1.0,0.0,0.0,0.0,0.0,1.0,1.0
nan,56.0,30.0,nan,nan,1.0,2.2,3.0,0.0,0.0,0.0,0.0,1.0,1.0
nan,38.0,13.0,nan,nan,1.0,nan,nan,0.0,1.0,0.0,1.0,1.0,1.0
nan,59.0,35.0,nan,nan,1.0,1.2,3.0,nan,0.0,0.0,0.0,1.0,0.0
nan,40.0,16.0,nan,nan,1.0,nan,2.0,0.0,0.0,0.0,0.0,nan,0.0
nan,53.0,28.0,41.0,nan,2.0,0.6,3.0,nan,0.0,nan,0.0,0.0,0.0
nan,nan,nan,nan,91330.0,3.0,0.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,31.0,5.0,nan,nan,4.0,1.8,nan,0.0,0.0,0.0,0.0,1.0,0.0
nan,48.0,24.0,nan,nan,3.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,59.0,35.0,nan,nan,1.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
nan,51.0,25.0,nan,nan,1.0,1.4,3.0,nan,0.0,0.0,0.0,0.0,0.0
nan,42.0,nan,nan,nan,3.0,nan,nan,0.0,1.0,1.0,1.0,1.0,0.0
nan,38.0,13.0,nan,nan,4.0,0.7,3.0,nan,0.0,0.0,0.0,1.0,0.0
nan,57.0,32.0,nan,nan,3.0,1.6,3.0,0.0,0.0,nan,0.0,0.0,0.0
nan,34.0,9.0,nan,nan,3.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,32.0,7.0,nan,nan,nan,nan,2.0,nan,1.0,0.0,0.0,1.0,0.0
nan,nan,nan,45.0,95616.0,1.0,0.7,1.0,0.0,0.0,nan,0.0,1.0,0.0
nan,46.0,20.0,nan,nan,1.0,nan,1.0,0.0,0.0,0.0,0.0,1.0,1.0
nan,57.0,31.0,nan,nan,4.0,nan,nan,0.0,0.0,0.0,0.0,0.0,1.0
nan,nan,nan,nan,95014.0,3.0,0.7,2.0,nan,0.0,0.0,0.0,1.0,0.0
nan,nan,nan,194.0,nan,nan,nan,3.0,nan,1.0,1.0,1.0,1.0,1.0
nan,56.0,26.0,nan,nan,2.0,4.5,3.0,0.0,0.0,nan,0.0,0.0,1.0
nan,nan,nan,49.0,nan,1.0,1.8,1.0,0.0,0.0,0.0,0.0,0.0,nan
nan,nan,nan,nan,92093.0,nan,0.7,2.0,0.0,0.0,1.0,0.0,1.0,0.0
nan,61.0,37.0,nan,nan,1.0,2.9,1.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,30.0,6.0,nan,nan,1.0,nan,1.0,nan,0.0,0.0,0.0,0.0,0.0
nan,50.0,26.0,nan,nan,nan,nan,3.0,nan,1.0,0.0,0.0,1.0,0.0
nan,29.0,5.0,nan,nan,1.0,0.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,41.0,17.0,nan,nan,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,nan,nan,nan,nan,3.0,0.1,2.0,0.0,0.0,1.0,1.0,1.0,0.0
nan,nan,nan,nan,nan,2.0,nan,3.0,0.0,1.0,0.0,0.0,0.0,0.0
nan,28.0,2.0,nan,nan,2.0,nan,1.0,0.0,0.0,0.0,0.0,nan,0.0
nan,31.0,5.0,nan,nan,2.0,nan,1.0,nan,0.0,0.0,0.0,0.0,0.0
nan,49.0,24.0,nan,nan,3.0,1.7,2.0,0.0,0.0,1.0,0.0,1.0,0.0
nan,47.0,21.0,nan,nan,1.0,nan,1.0,nan,0.0,nan,0.0,0.0,0.0
nan,42.0,18.0,nan,nan,1.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,nan,nan,nan,nan,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
nan,47.0,23.0,nan,nan,2.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nan,59.0,35.0,nan,nan,1.0,3.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0
nan,62.0,36.0,nan,nan,2.0,2.8,1.0,nan,0.0,0.0,0.0,0.0,0.0
nan,nan,23.0,nan,nan,4.0,nan,3.0,nan,0.0,1.0,0.0,0.0,0.0
