ID,Age,Experience,Income,ZIP_Code,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard
1.0,25.0,1.0,49.0,91107.0,4.0,1.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,45.0,19.0,34.0,90089.0,3.0,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,39.0,15.0,11.0,94720.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,35.0,9.0,100.0,94112.0,1.0,2.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,35.0,8.0,45.0,91330.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,37.0,13.0,29.0,92121.0,4.0,0.4,2.0,155.0,0.0,0.0,0.0,1.0,0.0
7.0,53.0,27.0,72.0,91711.0,2.0,1.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,50.0,24.0,22.0,93943.0,1.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,1.0
9.0,35.0,10.0,81.0,90089.0,3.0,0.6,2.0,104.0,0.0,0.0,0.0,1.0,0.0
10.0,34.0,9.0,180.0,93023.0,1.0,8.9,3.0,0.0,1.0,0.0,0.0,0.0,0.0
11.0,65.0,39.0,105.0,94710.0,4.0,2.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,29.0,5.0,45.0,90277.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,48.0,23.0,114.0,93106.0,2.0,3.8,3.0,0.0,0.0,1.0,0.0,0.0,0.0
14.0,59.0,32.0,40.0,94920.0,4.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,67.0,41.0,112.0,91741.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
16.0,60.0,30.0,22.0,95054.0,1.0,1.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0
17.0,38.0,14.0,130.0,95010.0,4.0,4.7,3.0,134.0,1.0,0.0,0.0,0.0,0.0
18.0,42.0,18.0,81.0,94305.0,4.0,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,46.0,21.0,193.0,91604.0,2.0,8.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0
